Title,"Include?
[1/0]",Year,Citation Reference,"Assigned to
[Dan, Ezz, Maddi, Sanyam, Shae, Vas]",Citations 2025,Citations Per Year Sept 2025,Venue,"URL
(optional)","DOI
(optional)","Input
[source_code, binary_code, binary_executable]","Input granularity [line, snippet, function, slice/gadget, commit, repo/project, executable]","Classification Granularity
[line, snippet, function, slice/gadget, commit, repo/project, executable]","Granularity justification (optional, if any)","Input (graph) representation
[intermediate_code, AST, CFG, DFG, CPG, PDG]","Input Vectorization
[NA, hash, manual_features, pretrained_token_embedding, pretrained_sentence_embedding, learnable_token_embedding, node_embedding, ..]","Tools Used
(as part of solution e.g., preprocessing)
[joern, word2vec, GPT-4, ...]","Task
[binary, binary-CWE, multi-class, exploit]","Task justification (optional, if any)",Mention explainability or interpretability,"Explainability
[0/1]","Vulnerability Types Targeted
[general / specific(e.g., CWE-XXX, XSS, SQLI, memory)]","Vulnerability Types in Datasets
[NA, general, CWE-XXX, XSS, SQLI, memory)]","Test Dataset Type
[create_own_from_scratch, subset_existing (e.g., NVD, SARD), benchmark]","Test Dataset
[NA, Juliet (SATE IV), NVD, SARD, Devign (aka. FFMpeg+ Qemu), Reveal (aka. Chromium+Debian), Big-Vul (aka. Fan et. al.), CodeXGLUE, Draper (Russel et. al.), CVEFixes, D2A, DiverseVul, ...]","Dataset justification (optional, if any)","Dataset Practicality
[Synthetic, real-world, both]","Programming Language
[NA, C/C++, Java, Python, PHP, JavaScript, any (binary, or assembly)]",Mention duplicate in dataset, Mention dataset quality, Mention dataset noise,Mention dataset split, Mention dataset balance,"Programming language justification 
(optional, if any)","ML?
[0/1]","LLM?
[0/1]","Basic Approach
[static, dynamic, both]","Approach
[fuzzing, manual_features, symbolic_execution, taint_analysis, signature, code_similarity, ML_preNN, MLP, CNN, RNN (including GRU, LSTM, BRNN, BGRU, BLSTM), Transformer, GNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Specific Approach
[GCN, GAT, RGCN, GGNN, LSTM, BLSTM, BGRU, GRU, BRNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Approach justification (optional, if any)",Discuss metrics,"Evaluation Metrics
[F1, Acc, ROCAUC,  PRAUC, Precision, Recall, TopN-Acc]","Metrics justification (optional, if any)",Discuss ablation,Discuss overfitting,"Best Results
(should be readable as python dict)
{""dataset"":{""metric"":value, ""metric"":value}}","repo
(code or data)
[url]","Open-sourced Code
[NA, 0, 1]","Open-sourced Dataset
[NA, 0, 1]",Summary,,,,
"Transformer-based vulnerability detection in code at EditTime: Zero-shot, few-shot, or fine-tuning?",1,2023,chan2023transformer,Ezz,37,13.8576779,arxiv,https://arxiv.org/abs/2306.01754,,source_code,snippet,snippet,,,pretrained_token_embedding,,binary,,1,1,general,general,create_own_from_scratch,github,,real-world,"C/C++, javascript, python, go, java, C#, ruby",0,0,0,1,0,specifically want to extend to multi-language,1,1,static,PretrainedLLM&FinetuneLLM,"PretrainedLLM, FinetuneLLM",,1,"Precision, recall, f1","The majority of existing approaches treat vulnerability detection as a classification problem. Given a block of code, the model makes a binary decision on whether the code is vulner-
able or not. Therefore, in our evaluations we also use the most common evaluation metrics for a classification task ",0,0,"{""edittime"":{""Precision"":58.9, ""recall"":63, ""f1"":60.9}, ""vuldeepecker"": {""Precision"":96.2, ""recall"":96.5, ""f1"":96.3}, ""sysevr"":{""Precision"":95.6, ""recall"":97.1, ""f1"":96.4}, ""reveal"":{""Precision"":41, ""recall"":61, ""f1"":49.3}, ""devign"":{""Precision"":57.3, ""recall"":78.1, ""f1"":66.1}}",,1,0,"The main idea of the paper is to run the AVD method on syntactically incomplete code snippets. They collected a dataset from open0source github repositories, and labelled it using codeQL, which is a static analyser. They randomly split the snippets based on their ASTs to mimic edit time behaviour. They then used three LLMs: codeBERT, code-davinci, and text-davinci to detect the vulnerabilities in the incomplete snippets. They evaluate the models on zero-shot, few-shot, and fine-tuning scenarios. They compare their models to multple known AVD solutions on AVD datasets",,,,
Understanding the effectiveness of Large Language Models in detecting security vulnerabilities,1,2023,khare2023understanding_llm_empirical,Ezz,82,30.71161049,arxiv,,,source_code,function,function,,source_code,pretrained_token_embedding,,"binary, binary-CWE, multi-class",,1,1,general,general,subset_existing,"OWASP, Juliet, CVEFixes",,both,"C/C++, java",0,1,0,1,0,,1,1,static,PretrainedLLM,PretrainedLLM,,1,"Acc, Precision, Recall, F1","indicators: recall, precision, false-positive rate and false-",0,1,"{""owasp-gpt4"":{""F1"":69}, ""juliet-java-gpt4"":{""F1"":76}, ""juliet-c-gpt4"":{""F1"":70}}",,0,0,,,,,
VDoTR: Vulnerability detection based on tensor representation of comprehensive code graphs,1,2023,fan2023vdotr,Ezz,20,7.490636704,Computers & Security,https://www.sciencedirect.com/science/article/pii/S0167404823001578,,source_code,function,function,,"AST, CFG, DFG, NCS","pretrained_token_embedding, node_embedding","joern, word2vec",binary,,0,0,general,"CWE-119, CWE-120, CWE-469, CWE-476",benchmark,merged(draper+SySeVR+VulDeePecker+muVulDeePecker+others),,both,C/C++,0,0,0,0,0,utilize widely-used metrics ,1,0,static,GNN,,,1,"Acc, Precision, Recall, F1",,1,0,"{""vdotr"":{""acc"":99.3, ""precision"":99.3, ""recall"":99.5, ""f1"":99.4}}",,0,0,"The paper proposes VDoTR, a GNN-based vulnerability detector. The core contriution is a so-called circle gated GNN, or CircleGGNN based on a composition of the source code with AST, CFG, DFG. The node embeddings are obtained by word2vec and averaging over the tokens in one node. Then a 1-D CNN layer is applied for classification. The resukts show how VDoTR makes use of all code representations through ablation studies, and show that some code graphs are more impoortant for specific vulnerability types CWEs..",,,,
VDSimilar: Vulnerability detection based on code similarity of vulnerabilities and patches,1,2021,sun2021vdsimilar,Ezz,75,16.05995717,Computers & Security,https://dl.acm.org/doi/10.1016/j.cose.2021.102417,10.1016/j.cose.2021.102417,source_code,function,snippet,"difference between a vulnerable and patched function may be only a single line , whereas differences between version can be much bigger",,learnable_token_embedding,,binary,,1,0,general,"66 CVEs, 14 CWEs",subset_existing,CVE_details,wanted pairs of vulnerable-patched,real-world,C/C++,0,0,0,0,0,only a footnote stating it; seems to be derived from the projects they sourced dataset from: Linux and OpenSSL,1,0,static,RNN,BLSTM,,1,"Acc, Precision, F1, FPR, FNR, ROCAUC","widely-used metrics (Pendleton et al., 2016)",0,1,"{""openssl"": {""Acc"":90.8, ""Precision"":91.8, ""F1"": 91.4, ""FPR"": 1.7, ""FNR"": 1.4, ""ROCAUC"":97.2}, ""linux"": {""Acc"":91.8, ""Precision"":92.5, ""F1"": 91.1, ""FPR"": 2, ""FNR"": 1.1, ""ROCAUC"":87.7}}",https://github.com/sunhao123456789/siamese_dataset,0,1,"The paper proposes an function-level C/C++ vulnerability detector. The core is an algorithm that computes the similarity between two function snippets. The aim is to maximize distance between vuln and patched functions, and to min. distance between vulnerable functions of the same CVE. Therefore, functions are fed into the training and test phases in pairs. Detection is done by comparing the target function to many vulnerable functions, and flagging if any similarity score was high. They curated a dataset and built a BLSTM detector with attention mechanism to output the similarity score between two functions.",,,,
VDTriplet: Vulnerability detection with graph semantics using triplet model,1,2024,sun2024vdtriplet,Dan,9,5.389221557,Computers & Security,https://doi.org/10.1016/j.cose.2024.103732,10.1016/j.cose.2024.103732,source_code,function,function,,PDG,pretrained_token_embedding,"simian, word2vec, joern, neo4j",multi-class,,1,0,,general,create_own_from_scratch,"Linux, OpenSSL, and Wireshark",,real-world,C/C++,0,1,0,1,0,"Checkmarx (2023) is a
state-of-the-art commercial tool with the C/C++ vulnerability rules, its
rules of Checkmarx cover over 90% of the vulnerability programs col-
lected on SARD (Software assurance reference dataset, 2023), and are
useful in identifying potential weaknesses (Li et al., 2021b). We use the
vulnerability syntactic characteristics (𝑉𝑠𝑦𝑛) provided on Checkmarx to
match the potential vulnerability syntactic features in functions.",1,0,static,CNN,TextCNN,,1,"Acc, Precision, Recall, F1",None,0,0,"{""own"":{""acc"": 93.06, ""precision"": 91.89, ""recall"": 94.44, ""F1"": 93.15}}",https://github.com/sunhao123456789/VDTriplet-data,1,1,"Uses data triplets of (Vuln_1, Vuln_n, Fix_n) where the two vulnerable samples are of the same CWE. Aim is to maximise the distance between the vulnerable and fixed versions of a function and minimise the distance to other functions with the same vulnerability. So trains using patches and recognises the difficulty but reports metrics for classfication",,,,
Vu1SPG: Vulnerability detection based on slice property graph representation learning,1,2021,zheng2021vu1spg,Ezz,66,14.13276231,IEEE International Symposium on Software Reliability Engineering,https://ieeexplore.ieee.org/document/9700294,10.1109/ISSRE52982.2021.00054,source_code,"slice/gadget,function","slice/gadget,function",,"AST, CPG, PDG, CFG",pretrained_token_embedding,joern,binary,,0,0,general,general,benchmark,"sysevr, devign",,both,C/C++,0,1,0,0,0,currently focuses on detecting vulnerabilities in the source code of CIC++ programs. We plan to extend this method to other languages in future work.,1,0,static,GNN,RGCN,,1,"Acc, Precision, Recall, F1, FPR, FNR",We use six widely used metrics to evaluate the performance of VulSPG and other baseline approaches,1,0,"{""sysevr"":{""fpr"":2, ""fnr"":5.3, ""Acc"":97.1, ""precision"":93.9, ""recall"":94.7, ""f1"":94.3}, ""devign"":{""fpr"":39.6, ""fnr"":28.5, ""acc"":66.5, ""precision"":61.3, ""recall"":71.5, ""f1"":65.5}}",,0,0,"The paper proposes VulSPG, a vulnerability detector based on new graph representation called the slice property graph (SPG). The SPG merges different graph representations such as DDG, CDG, CPG, and others to get the graph of a certain SyVC. The SPG is used as the underlying graph for a relational GCN (R-GCN). The initial node embeddings are used from word2vec and the node type is given by a one-hot vector. The authors use the attention mechanism three times, between tokens in single statements, between nodes in SPG, DDG, CDG, and between those graphs, to finally reach one output embedding representing the whole graph or slice (they calle it triple attention mechanism). Finally, the classifier network is a single linear layer with softmax.",,,,
VUDDY: A Scalable Approach for Vulnerable Code Clone Discovery,0,2017,vuddy_2017,Ezz,480,55.3633218,IEEE Symposium on Security and Privacy,https://ieeexplore.ieee.org/document/7958600,10.1109/SP.2017.62,source_code,,function,,,hash,,binary,,,0,general,general,create_own_from_scratch,NA,,real-world,C/C++,,,,,,,0,0,static,signature,signature,,,Precision,,,,"{""null"":{""Precision"": 100}}",https://github.com/squizz617/vuddy,1,0,"VUDDY is a function-level C/C++ vulnerability detection method proposed in 2017 to detect vulnerable code clones. VUDDY assesses code similarity to other known vulnerable functions by computing a function signature based on (1) the length of the function, and (2) its hash string. The two main contributions of VUDDY are (i) scalability, as target functions have to be compared to millions of known vulnerable functions, and (ii) vulnerability abstraction, which enables VUDDY to detect unknown variants of known vulnerabilities. ",,,,
VUDENC: Vulnerability Detection with Deep Learning on a Natural Codebase for Python,1,2022,vudenc_2022,Ezz,138,37.60217984,Information and Software Technology,https://dl.acm.org/doi/10.1016/j.infsof.2021.106809,10.1016/j.infsof.2021.106809,source_code,snippet,snippet,"binary-level predictions and analy-
sis on the level of whole files provide little insight, as developers often already know which files might be sensitive to security vulnerabilities, and developers strongly prefer a much finer approach, if possible at the level of lines of code or instruction",,learnable_token_embedding,,binary,,1,1,general,"SQL injection, cross-site scripting, command injection, cross-site request forgery, path disclosure, remote code execution, and open redirect vulnerabilities",create_own_from_scratch,Github,,real-world,Python,0,0,0,0,0,"Previous works have mostly been focusing on staticallytyped languages like Java, C and C++. However, the programming language Python has not received such attention. According to several online rankings, Python is one of the most important and popular programming languages, and it is the third most used language on GitHub after Javascript and Java.
",1,0,static,RNN,LSTM,,1,"Acc, Precision, Recall, F1","In the case of vulnerability detection, it is indeed the case that most code fragments will be clean and vulnerabilities are relatively rare. As a result, we will use precision, recall, and the F1 score to evaluate the models. The accuracy is just reported for completeness reasons.
",0,1,"{""null"":{""Acc"":96, ""Precision"": 90, ""Recall"":82, ""F1"":86}}",https://github.com/LauraWartschinski/VulnerabilityDetection,1,1,,,,,
Vul-RAG: Enhancing LLM-based vulnerability detection via knowledge-level RAG,1,2024,du2025vulrag,Shae,69,41.31736527,arxiv,,,source_code,function,function,,None,pretrained_token_embedding / embedding used by the model employed,"Extracting functional semantics, vulnerability causes, and fixing solution to make up the knowledge base for RAG. BM25 is used for retrieval.",binary,,0,0,"general but focussing on specific(CWE-416, CWE-476, CWE-362, CWE-119, CWE-787, CWE-20, CWE-200, CWE-125, CWE-264, CWE-401)","CWE Top-10 (e.g. 416, 476, 362, 119, 787, 20, 200, 125, 264, 401)",create_own_from_scratch,"PairVul (vulnerable and patched code pairs, 586 pairs across 420 CVEs)",because they need vulnerable and patched code of exiting CVEs so they create their own dataset to evaluate LLMs capabilities at distinguishing vulnerable vs patched code.,real-world,C/C++,0,0,0,0,0,Primarily considering linux kernel vulnerabilities ,1,1,static,PretrainedLLM,PretrainedLLM,,1,"pairwise accuracy, balanced precision, balanced recall",Using pairwise and balanced to evaluate the performance with respect to having both vulnerable and patched code.,1,1,"{""pairvul"":{""pairwise accuracy"":32, ""balanced recall"": 61, ""balanced precision"": 63}}",,1,1,"Identifies that current apporaches perform poorly when considering not only vulnerable but also patched code. To improve pairwise accuracy (i.e. vulnerable on vulnerable code and not vulnerable on patched code) the approach leverages a RAG with entries that include functional semantics, vulnerability causes and fixing solutions.",,,,
VulANalyzeR: Explainable Binary Vulnerability Detection with Multi-task Learning and Attentional Graph Convolution,1,2023,li2023vulanalyzer,Ezz,23,8.61423221,ACM Transactions on Privacy and Security,https://doi.org/10.1145/3585386,,binary_code,executable,executable,,,learnable_token_embedding,,"binary, multi-class",,1,1,general,general,"banchmark, suset_existing","vuldeepecker_compiled, cve, juliet",,both,C/C++,0,0,0,0,0,,1,0,static,"GNN, RNN",,,1,"Acc, Precision, Recall, f1, ROCAUC","In terms of vulnerability detection, which
is binary classification, we define vulnerable as positive and non-vulnerable as negative. Metrics
include accuracy, precision, recall, F 1score, and area under the receiver operating character-
istic curve (AUC).",0,1,"{""vuldeepecker"":{""Acc"":89.5,""recall"":94.2, ""precision"":85.4, ""f1"":90.1, ""ROCAUC"":96.8}, ""juliet"": {""Acc"":99.5,""recall"":99.9, ""precision"":99.2, ""f1"":99.5, ""ROCAUC"":99.9}, ""vuldeepecker_multi"":{""Acc"":99.6,""recall"":99.6, ""precision"":99.6, ""f1"":99.6, ""ROCAUC"":99.8}, ""juliet_multi"":{""Acc"":91.6,""recall"":91.6, ""precision"":94.5, ""f1"":92.5, ""ROCAUC"":99.9}}",,1,1,"This paper proposes VulAnalyzer, a vulnerability detector and explainer for binary programs. It can first detect the existence of a vulnerability, clasify the type/CWE of the vulnerability, and provide root cause analysis. VulAnalyzer utilizes RNNs, GNNs on the CFG, and the attention mechanism for explainability to point at vulenrable statements. First they extract the CFGs of the functions from assembly code, and merge all CFGs into one graph using function calls. For each CFG block, embeddings are learned through BGRU layers, and the attention mechanism is stacked on top. The attention heads are concatenated, and this output acts as the initial node embeddiing in a GNN (GCN). Explainability is chieved throug the attention weights, on both the nodes of the GNN, and the tokens in the CFG blocks.",,,,
VulBERTa: Simplified Source Code Pre-Training for Vulnerability Detection,1,2022,vulberta_2022,Ezz,183,49.86376022,International Joint Conference on Neural Networks,https://ieeexplore.ieee.org/document/9892280,10.1109/IJCNN55064.2022.9892280,source_code,function,function,,,learnable_token_embedding,,"binary, multi-class",,0,0,general,general,benchmark,"vuldeepecker, draper, reveal, muvuldeepecker, codeXGLUE, D2A",,both,C/C++,0,1,1,0,0,,1,1,static,Pretrain+FinetuneLLM,Pretrain+FinetuneLLM,,1,"Acc, Precision, Recall, F1, ROCAUC, PRAUC, MCC, W-F1","For every experiment, we report several evaluation metrics, including those used in the initial work for each dataset.
",0,1,"{""Vuldeepecker"":{""Precision"":95.8, ""F1"":93},""Draper"":{""F1"":57.9,""PRAUc"":56.7,""ROCAUC"":92.1}, ""reveal"":{""Acc"":84.5, ""Precision"":35.2, ""F1"":45.3, ""Recall"":74.4}, ""muvuldeepecker"": {""W-F1"":99.6}, ""codeXGLUE"":{""Acc"":64.8}, ""D2A"":{""Acc"":62.3}}",https://github.com/ICL-ml4csec/VulBERTa,1,NA,"VulBERTa proposed pre-training a BERT-style transformer architecture on C/C++ code, and then fine-tuning it (along with an MLP or CNN classification head) on well-known AVD datasets. the authors evaluated both binary and multi-class classification tasks, using the dataset published by muVulDeePecker for both training and testing of VulBERTa. ",,,,
VulCNN: An Image-inspired Scalable Vulnerability Detection System,1,2022,vulcnn_2022,Ezz,169,46.04904632,IEEE/ACM International Conference on Software Engineering,https://ieeexplore.ieee.org/document/9793871,10.1145/3510003.3510229,source_code,function,function,,PDG,pretrained_sentence_embeding,"Joern, sent2vec",binary,,0,1,general,general,subset_existing,"NVD, SARD",,both,C/C++,0,0,0,0,0,,1,0,static,CNN,Conv2d,,1,"Acc, Recall","The metrics used to measure the effectiveness of VulCNN are the same as others
",0,0,"{""null"":{""Acc"":83.5, ""Recall"": 90.5}}",https://github.com/CGCL-codes/VulCNN,1,1,,,,,
VulDeBERT: A Vulnerability Detection System Using BERT,1,2022,kim2022vuldebert,Sanyam,53,14.44141689,IEEE International Symposium on Software Reliability Engineering Workshops,https://ieeexplore.ieee.org/document/9985089,10.1109/ISSREW55968.2022.00042,source_code,gadget/slice,slice/gadget,,,pretrained_token_embedding,,binary,,0,0,"CWE-119, CWE-399",general,"benchmark,subset_existing","NVD, SARD, Vuldeepecker",,both,C/C++,0,0,0,0,0,"In theory, VulDeBERT can be implemented for any programming language. In practice, however, it is challenging to provide a code gadget generation tool suitable for a target programming language. Therefore, our current VulDeBERT implementation supports only program source code written in C and C++.",1,1,static,"FinetuneLLM, BERT/Transformer, Transforming Code Gadget ",FinetuneLLM,,1,"Precision,F1, Recall",,0,0,"{""vuldebert"": {""precision"":97.1, ""F1"":94.6, ""FNR"":7.8, ""recall"":92.2, ""FPR"":2.1}}",https://github.com/SKKU-SecLab/VulDeBERT,1,1,,,,,
VulDeeLocator: A Deep Learning-based Fine-grained Vulnerability Detector,1,2022,vuldeelocator_2021,Ezz,294,80.10899183,IEEE Transactions on Dependable and Secure Computing,https://www.computer.org/csdl/journal/tq/2022/04/09416836/1t8W1eYcUhy,10.1109/TDSC.2021.3076142,source_code,project,line,"hat is, coarse-grained vulnerability detection is merely a pre-step for vulnerability assessment because it cannot precisely pinpoint vulnerabilities [25]
","intermediate_code, AST",pretrained_token_embedding,,binary,,1,1,general,general,subset_existing,"NVD, SARD, vuldeelocator",,both,C/C++,0,0,0,0,0,,1,0,static,RNN,BGRU,,1,"Acc, Precision, F1, IoU",five standard metrics,0,1,"{""vuldeelocator"":{""Acc"": 98.8, ""Precision"": 98.2, ""F1"": 97.2, ""IoU"": 36.3}}",https://github.com/VulDeeLocator/VulDeeLocator,1,1,"This work is an extransion to VulDeePecker and muVulDeePecker, and is aimed at locating the vulnerable statements in a C/C++ program, i.e., line-level detection. VulDeeLocator can both deect and locate vulnerabilities. The paper proposes using intermeddiate code, where each variables is ensured to be assigned then used and is assigned exactly onece, as intermediate code is in the static single assignement (SSA) form. This is an extension of SyseVR which uses SyVC and SeVC, into iSeVCs. Furthermore, a new RNN architecture called BRNN-vdl which refines the granularity of vulnerability to ~3 lines of code. VulDeeLocator was shown to outperform previous work and was also shown to find silently patched vulnerabilities in real-world programs.",,,,
VulDeePecker: A Deep Learning-Based System for Vulnerability Detection,1,2018,vuldeepecker_2018,Ezz,1402,182.7900913,Network and Distributed Systems Security Symposium,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_03A-2_Li_paper.pdf,10.14722/ndss.2018.23158,source_code,project,slice/gadget,"Because whether or not a line of code contains a vulnerability may depend on the context, neural networks that can cope with contexts may be suitable for vulnerability detection , it uses a fine-grained granularity to represent programs, and therefore can pin down the precise locations of vulnerabilities.",,pretrained_token_embedding,word2vec,binary,,0,0,specific,"CWE-119, CWE-399",subset_existing,"NVD, SARD, vuldeepecker",,both,C/C++,0,0,0,0,0,,1,0,static,RNN,BLSTM,"As a matter of fact, it is always desirable to reduce, or even eliminate whenever possible, the reliance on the intense labor of human experts. This can be justified by the trend of cyber defense automation, which is catalyzed by initiatives such as DARPA’s Cyber Grand Challenge [5]. It is therefore important to relieve human experts from the tedious and subjective task of manually defining features for vulnerability detection.

actually mention the CGC as reason why for ML stuff

On the other hand, existing solutions often miss many vulnerabilities or incur high false negative rates

First, we initiate the study of using deep learning for vulnerability detection. This approach has a great potential because deep learning does not need human experts to manually define features, meaning that vulnerability detection can be automated. However, this approach is challenging because deep learning is not invented for this kind of applications, meaning that we need some guiding principles for applying deep learning to vulnerability detection. We discuss some preliminary guiding principles for this purpose, including the representation of software programs to make deep learning suitable for vulnerability detection, the determination of granularity at which deep learning-based vulnerability detection should be conducted, and the selection of specific neural 1networks for vulnerability detection.

some amount of reasoning given for deep learning
",1,"F1, Precision, Recall","It would be fair to say that vulnerability detection systems with high false positive rates may not be usable, vulnerability detection systems with high false negative rates may not be useful. This justifies the importance of pursuing vulnerability detection systems that can achieve low false negative rates and low false positive rates.

We use the widely used metrics false positive rate (F P R), false negative rate (F N R), true positive rate or recall (T P R), precision (P ), and F 1-measure (F 1) to evaluate vulnerability detection systems [39].

some amount of reasoning about how FPR and FNR impact usefulness and usability of AVD system, but no real details given on why, more statement of it 
",0,0,"{""vuldeepecker"": {""recall"":83.9,""precision"":86.9, ""F1"":85.4}, ""both_sel"": {""recall"":93.9, ""precision"":91.9, ""F1"":92.9}}",https://github.com/CGCL-codes/VulDeePecker,0,1,"VulDeePecker is the first function-level deep learning-based C/C++ vulnerability detector in the AVD literature (2018), and is the most cited paper, and the most commonly used baseline in our surveyed papers. The main innovation in VulDeePecker lies in developing a novel input representation technique based on creating so-called code gadgets, developed in order to make deep learning suitable for AVD. A code gadget is a number of (not necessarily consecutive) lines that are semantically related. These code gadget are then vectorized using the word2vec tool and fed to a bi-directional LSTM (BLSTM) architecture for detecting vulnerabilities. VulDeePecker was shown to outperform Flawfinder, RATS, Checkmarx, and VUDDY, w.r.t. precision, recall and F1-score.",,,,
VULDEFF: Vulnerability detection method based on function fingerprints and code differences,0,2023,zhao2023vuldeff,Ezz,23,8.61423221,Knowledge-Based Systems,https://dl.acm.org/doi/10.1016/j.knosys.2022.110139,10.1016/j.knosys.2022.110139,source_code,,function,,AST,hash,ANTLR,binary,,,0,general,general,create_own_from_scratch,null,,real-world,C/C++,,,,,,,0,0,static,signature,,,,"Precision, Recall, F1",,,,"{""null"":{""precision"":91, ""recall"":85.4, ""f1"":88.1}}",https://zenodo.org/records/11056403,0,1,"The paper proposes VULDEFF, a vulnerability detector based on generating function fingerprints and code differences. VULDEFF uses the AST of a function and generates a hash using the context triggered piecewise hashing algorithm, which is a fuzzy hashing algorithm, meaning it can find similar and not necessarily identical code. This can be done by comparing piece size, testing for longest common substring, or computing weighted edit distance. When generating the fingerprints, VULDEFF uses the diff to generate vulnerability features and patch features. Then the target function fingerprint is searched in a fingerprint library",,,,
Vulnerability Detection and Monitoring Using LLM,1,2023,akuthota2023vulnerability,Shae,30,11.23595506,2023 IEEE 9th International Women in Engineering (WIE) Conference on Electrical and Computer Engineering (WIECON-ECE),,,source_code,project,slice/gadget,,None,pretrained_token_embedding,,binary-CWE,,0,0,general,"Most common are SQLi, Weak Randomness, CSS, Comand Injection, etc..",benchmark,OWASP Benchmark,,real-world,Java,0,0,0,0,0,None,1,1,static,PretrainedLLM,PretrainedLLM,,1,"Acc, FP, FN, TP, TN",None,0,0,"{""null"":{}}",,0,1,This paper is abit confusing / vague but it seems to be that it pulls code and meta data from a URL and assesses that code with an LLM.  then their is mention of fuzzing and fuzzy string matching. Basically seems to be somewhere between standard vulnerability detection and web security testing. Note it is a short paper so relatively under specified.,,,,
Vulnerability detection based on federated learning,1,2024,zhang2024vulnerability,Ezz,14,8.383233533,Information and Software Technology,,,source_code,function,function,,CPG,node_embedding,"Joern, word2vec",binary,,1,0,general,general,create_own_from_scratch,"Reveal, Devign, Funded",None,real-world,C/C++,1,0,0,0,1,None,1,0,static,GNN,GAT,,1,"Precision, Recall, F1, MCC",popularity,0,1,"{""Reveal"": {""precision"":71, ""recall"":85, ""f1"":78}, ""Devign"":{""precision"":83, ""recall"":86, ""f1"": 85}, ""funded"":{""precision"":47.2,""recall"":40.4, ""f1"":43.6}}",https: //github.com/cherishdd/VDBFL,1,NA,"The paper considers the problem of vulnerability detection training using multi-party data, and propose a federated learning framwork called VDBFL to solve it. The model itself uses the CPG and uses GNNs and CNNs for feature extraction, as well as using jump-structured graph attention network to aggreggate node information from important neighbours.",,,,
Vulnerability Detection by Learning From Syntax-Based Execution Paths of Code,1,2023,zhang2023execpaths,Ezz,72,26.96629213,IEEE Transactions on Software Engineering,https://ieeexplore.ieee.org/document/10153647,10.1109/TSE.2023.3286586,source_code,function,"snippet,function",,"AST, CFG",pretrained_token_embedding,CodeBERT,binary,,1,0,general,general,"benchmark, create_own_from_scratch",merged(reveal+big-vul+devign),,real-world,C/C++,0,0,0,0,0,,1,0,static,CNN,CNN,,1,"Precision, recall, f1","Referring to prior works [9], [10], [24], we adopt three widely-used classification metrics, i.e., Precision, Recall, and F1-Score, for evaluation.
",0,0,"{""merged"":{""precision"":66.5, ""recall"":66.9,""f1"":66.7}}",https://zenodo.org/records/7123322,1,1,"This paper proposes a vulnerability detector EPVD using the CFG of C/C++ code snippets. The method extracts several execution paths from the CFG and encodes those, and combine their representations to obtain a final code represerntation. EPVD utilizes the pretrained embedding and some encoding layers of CodeBERT, where the inputs are CFG blocks. Then, the encoded representations are fed into a CNN for detecting vulnerabilities. They evaluated the method on a merged dataset of reveal, devign, and big-vul, and they also curated their own dataset from two open-source projects. They show that EPVD outperforms many of the usual baselines in AVD. ",,,,
Vulnerability Detection in C/C++ Source Code With Graph Representation Learning,1,2021,wu2021vulnerability_grl,Shae,41,8.779443255,IEEE Annual Computing and Communication Workshop and Conference,https://ieeexplore.ieee.org/document/9376145,10.1109/CCWC51732.2021.9376145,source_code,function,function,"represent the source code at the software function level, which enables fine-grained vulnerability detection",SCPG (AST & CFG),node_embedding,"Joern, word2vec",binary,,0,0,general,general,benchmark,Juliet," We choose it as the source of dataset mainly for two reasons. On the one hand, it provides us with enough data that can be easily labeled, which is crucial for deep learning based approaches; the test suite contains tens of thousands of synthetic test cases for C/C++ language, which are specifically designed according to different CWEs. On the other hand, the ground truth of the test suit is solid enough since it is manually designed and has been used to evaluate many vulnerability detection methods [18], [21], [22], [29]
",synthetic,C/C++,0,0,0,0,0,,1,0,static,GNN,GAT,,1,"Acc, Precision, Recall, F1","we select four widely-used
metrics:
",0,0,"{""Ours"":{""Acc"":0.892, ""Precision"":0.840, ""Recall"":0.831, ""F1"":0.836}, ""CNN"":{""Acc"":0.891, ""Precision"":0.998, ""Recall"":0.672, ""F1"":0.803}, ""RNN"":{""Acc"":0.892, ""Precision"":0.995, ""Recall"":0.675, ""F1"":0.805}}",,0,1,The authors propose a combined GNN and MLP approach for vulnerability detection using a simplified code property graph (SCPG). The simplified code property graph consists of AST and CFG. The SCPG is fed into the GNN to learn the graph representation which is then feed into an MLP for classification.,,,,
